cert_id,name,family,level,skills,languages,prerequisites,price,duration_hours,short_desc
ITILF,ITIL Foundation,ITIL,Foundation,service operations|service design|problem management|ITSM|incident management,en-GB|es-ES,,452,12,"ITIL Foundation course covering service operations, service design, problem management, ITSM, incident management."
ITILP,ITIL Practitioner,ITIL,Practitioner,service design|incident management|SLA|problem management|service catalog,en-GB|hi-IN|ar-AE|en-US|it-IT,ITILF,729,24,"ITIL Practitioner course covering service design, incident management, SLA, problem management, service catalog."
ITILL,ITIL Leader,ITIL,Leader,incident management|change enablement|ITSM|service operations|continual improvement,ar-AE|es-ES|nl-NL,ITILF,792,20,"ITIL Leader course covering incident management, change enablement, ITSM, service operations, continual improvement."
PRINCE2F,PRINCE2 Foundation,PRINCE2,Foundation,project governance|planning|quality management|risk management|business case,de-DE|it-IT|en-GB,,364,20,"PRINCE2 Foundation course covering project governance, planning, quality management, risk management, business case."
PRINCE2P,PRINCE2 Practitioner,PRINCE2,Practitioner,planning|project governance|project controls|risk management|quality management,ar-AE|en-US,PRINCE2F,656,20,"PRINCE2 Practitioner course covering planning, project governance, project controls, risk management, quality management."
DevOpsF,DevOps Foundation,DevOps,Foundation,containers|agile|infrastructure as code|CI/CD|automation,en-US|en-GB|it-IT,,421,12,"DevOps Foundation course covering containers, agile, infrastructure as code, CI/CD, automation."
DevOpsP,DevOps Practitioner,DevOps,Practitioner,observability|infrastructure as code|automation|agile|CI/CD,es-ES|ar-AE|it-IT|el-GR|en-US,DevOpsF,738,16,"DevOps Practitioner course covering observability, infrastructure as code, automation, agile, CI/CD."
ScrumF,Scrum Foundation,Scrum,Foundation,story points|scrum ceremonies|scrum mastery|product ownership|product backlog,el-GR|ar-AE|de-DE,,370,20,"Scrum Foundation course covering story points, scrum ceremonies, scrum mastery, product ownership, product backlog."
ScrumM,Scrum Master,Scrum,Master,scrum ceremonies|agile|retrospectives|sprint planning|product backlog,de-DE|en-GB,ScrumF,652,20,"Scrum Master course covering scrum ceremonies, agile, retrospectives, sprint planning, product backlog."
MSPF,MSP Foundation,MSP,Foundation,stakeholder engagement|benefits management|blueprint design|programme management|business change,ar-AE|nl-NL|it-IT,,471,20,"MSP Foundation course covering stakeholder engagement, benefits management, blueprint design, programme management, business change."
MSPP,MSP Practitioner,MSP,Practitioner,stakeholder engagement|programme management|governance|business change|blueprint design,nl-NL|it-IT|en-US|hi-IN|es-ES,MSPF,624,16,"MSP Practitioner course covering stakeholder engagement, programme management, governance, business change, blueprint design."
MoVF,MoV Foundation,MoV,Foundation,decision analysis|benefits|prioritization|value management|option analysis,en-US|nl-NL|de-DE|es-ES|ar-AE,,437,20,"MoV Foundation course covering decision analysis, benefits, prioritization, value management, option analysis."
